date,open,high,low,close,adjusted_close,volume,warning,Stock
2025-04-09,272.0,274.0,270.0,272.0,237.8291,1832800.0,Data is limited by one year as you have free subscription,CFIN
2025-04-09,78.0,80.0,76.0,77.0,74.8293,865000.0,Data is limited by one year as you have free subscription,CGAS
2025-04-09,50.0,51.0,50.0,51.0,50.286,1332700.0,Data is limited by one year as you have free subscription,CHEM
2025-04-09,1380.0,1395.0,1380.0,1395.0,1392.8758,74600.0,Data is limited by one year as you have free subscription,CHIP
2025-04-09,138.0,146.0,136.0,137.0,130.2843,82000.0,Data is limited by one year as you have free subscription,CINT
2025-04-09,2930.0,3100.0,2930.0,3070.0,2840.1005,9800.0,Data is limited by one year as you have free subscription,CITA
2025-04-09,70.0,75.0,67.0,73.0,73.0,271100.0,Data is limited by one year as you have free subscription,CITY
2025-04-09,720.0,730.0,720.0,730.0,730.0,204900.0,Data is limited by one year as you have free subscription,CLAY
2025-04-09,1285.0,1400.0,1260.0,1340.0,665.5921,23029400.0,Data is limited by one year as you have free subscription,CLEO
2025-04-09,1020.0,1035.0,1015.0,1015.0,894.7463,273200.0,Data is limited by one year as you have free subscription,CLPI
2025-04-09,1400.0,1540.0,1380.0,1440.0,1440.0,1055600.0,Data is limited by one year as you have free subscription,CMNP
2025-04-09,890.0,895.0,845.0,890.0,890.0,8502700.0,Data is limited by one year as you have free subscription,CMNT
2025-04-09,78.0,78.0,78.0,78.0,78.0,21700.0,Data is limited by one year as you have free subscription,CMPP
2025-04-09,4330.0,4400.0,4220.0,4310.0,4092.6261,2024200.0,Data is limited by one year as you have free subscription,CMRY
2025-04-09,34.0,38.0,34.0,36.0,36.0,45140800.0,Data is limited by one year as you have free subscription,CNKO
2025-04-09,116.0,118.0,110.0,112.0,103.5673,16722300.0,Data is limited by one year as you have free subscription,CNMA
2025-04-09,250.0,250.0,250.0,250.0,250.0,0.0,Data is limited by one year as you have free subscription,CNTB
2025-04-09,142.0,142.0,142.0,142.0,142.0,0.0,Data is limited by one year as you have free subscription,CNTX
2025-04-09,37.0,37.0,37.0,37.0,37.0,836500.0,Data is limited by one year as you have free subscription,COAL
2025-04-09,66.0,68.0,65.0,66.0,66.0,245100.0,Data is limited by one year as you have free subscription,COCO
2025-04-09,50.0,50.0,50.0,50.0,50.0,0.0,Data is limited by one year as you have free subscription,COWL
2025-04-09,3980.0,4240.0,3980.0,4050.0,3960.5521,8359700.0,Data is limited by one year as you have free subscription,CPIN
2025-04-09,50.0,50.0,50.0,50.0,50.0,0.0,Data is limited by one year as you have free subscription,CPRI
2025-04-09,50.0,50.0,50.0,50.0,50.0,265800.0,Data is limited by one year as you have free subscription,CPRO
2025-04-09,240.0,244.0,240.0,240.0,237.9661,1258200.0,Data is limited by one year as you have free subscription,CRAB
2025-04-09,108.0,109.0,105.0,109.0,109.0,204400.0,Data is limited by one year as you have free subscription,CRSN
2025-04-09,390.0,390.0,386.0,386.0,375.7172,4400.0,Data is limited by one year as you have free subscription,CSAP
2025-04-09,77.0,80.0,62.0,65.0,65.0,519000.0,Data is limited by one year as you have free subscription,CSIS
2025-04-09,2250.0,2480.0,2250.0,2480.0,2480.0,30800.0,Data is limited by one year as you have free subscription,CSMI
2025-04-09,670.0,675.0,660.0,670.0,659.9086,184900.0,Data is limited by one year as you have free subscription,CSRA
2025-04-09,2430.0,2430.0,2430.0,2430.0,2285.6975,7200.0,Data is limited by one year as you have free subscription,CTBN
2025-04-09,700.0,750.0,700.0,745.0,725.6703,29958900.0,Data is limited by one year as you have free subscription,CTRA
2025-04-09,25.0,25.0,25.0,25.0,25.0,500.0,Data is limited by one year as you have free subscription,CTTH
2025-04-09,5250.0,5625.0,4730.0,4740.0,473.8007,158339000.0,Data is limited by one year as you have free subscription,CUAN
2025-04-09,740.0,770.0,715.0,730.0,730.0,25812900.0,Data is limited by one year as you have free subscription,CYBR
2025-04-09,3000.0,3000.0,2610.0,2670.0,2670.0,3024800.0,Data is limited by one year as you have free subscription,DAAZ
2025-04-09,7.0,7.0,7.0,7.0,6.9864,3975400.0,Data is limited by one year as you have free subscription,DADA
2025-04-09,123.0,130.0,118.0,125.0,125.0,15900.0,Data is limited by one year as you have free subscription,DART
2025-04-09,1030.0,1085.0,1015.0,1055.0,1055.0,8330600.0,Data is limited by one year as you have free subscription,DATA
2025-04-09,920.0,920.0,920.0,920.0,920.0,600.0,Data is limited by one year as you have free subscription,DAYA
2025-04-09,149975.0,159775.0,149500.0,153000.0,153000.0,9900.0,Data is limited by one year as you have free subscription,DCII
2025-04-09,6.0,6.0,6.0,6.0,6.0,0.0,Data is limited by one year as you have free subscription,DEAL
2025-04-09,1455.0,1455.0,1455.0,1455.0,1455.0,0.0,Data is limited by one year as you have free subscription,DEFI
2025-04-09,224.0,224.0,216.0,224.0,219.52,18200.0,Data is limited by one year as you have free subscription,DEPO
2025-04-09,88.0,93.0,83.0,86.0,86.0,262965400.0,Data is limited by one year as you have free subscription,DEWA
2025-04-09,90.0,92.0,88.0,92.0,92.0,57480200.0,Data is limited by one year as you have free subscription,DEWI
